OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIPT,OWNER,STATUS,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWIDTH,SURFACETYPE_1,SURFACEDATE_1,SURFACETYPE_2,SURFACEDATE_2,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SGNDBKROUTE,NGHBRHDGRNWY,NATIONHWYSYS,STREETTYPE,MJTRK_STR_FLAG,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,TRANDESCRIPT,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,SLOPE_PCT,PVMTCATEGORY,PARKBOULEVARD,SHAPE_Length
1,1006,68,00010,0120,000100120,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,1ST AVE,1ST AVE,SENECA ST,UNIVERSITY ST,2,Minor Arterial, ,INSVC,1200,25,NW,N, , ,306,48,PCC,2017/10/28 00:00:00+00,AC/PCC,2017/10/28 00:00:00+00,1ST AVE AND SENECA ST,NW,29611,1ST AVE AND UNIVERSITY ST,SE,29604,1269293.53489655,224852.7909383,N,N,N,Downtown Neighborhood,,87,62,1,PRINCIPAL TRANSIT ROUTE,DISTRICT7, ,N,4,ART,N,305.966050124338
2,1009,68,00010,0150,000100150,1ST AVE BETWEEN PIKE ST AND PINE ST,1ST AVE,1ST AVE,PIKE ST,PINE ST,2,Minor Arterial, ,INSVC,1500,25,NW,N, , ,426,104,AC/PCC,2017/10/28 00:00:00+00,PCC,2017/11/04 00:00:00+00,1ST AVE AND PIKE ST,NW,29593,1ST AVE AND PINE ST,SE,29585,1268673.27518392,225900.77404338,N,N,N,Downtown Neighborhood,,57,58,1,PRINCIPAL TRANSIT ROUTE,DISTRICT7, ,N,5,ART,N,426.031562335952
7,1103,68,00020,1220,000201220,1ST AVE NE BETWEEN N 122ND ST AND CORLISS S AVE N,1ST AVE NE,1ST AVE NE,N 122ND ST,CORLISS S AVE N,3,Collector Arterial, ,INSVC,12200,25,N,N, , ,837,24,ST,2017/09/23 00:00:00+00,,,1ST AVE NE AND N 122ND ST,N,36547,1ST AVE NE AND CORLISS S AVE N,S,670572,1272296.04824363,265566.28685199,N,N,N,Neighborhood Corridor,,36,0,3,MINOR TRANSIT ROUTE,DISTRICT5, ,N,2,ART,N,837.063531957846
15,1202,68,00030,0120,000300120,1ST AVE S BETWEEN S ROYAL BROUGHAM WAY AND S ATLANTIC ST,1ST AVE S,1ST AVE S,S ROYAL BROUGHAM WAY,S ATLANTIC ST,1,Principal Arterial,WSDOT,INSVC,1200,25,S,N, , ,760,79,AC/PCC,2017/10/11 00:00:00+00,AC/PCC,2017/11/02 00:00:00+00,1ST AVE S AND S ROYAL BROUGHAM WAY,S,30384,1ST AVE S AND S ATLANTIC ST,N,30388,1270092.50552137,219319.26747663,N,N,Y,Industrial Access,Y,73,69,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,760.007305873135
16,1222,68,00030,0560,000300560,1ST AVE S BETWEEN S FINDLAY ST AND S ORCAS ST,1ST AVE S,1ST AVE S,S FINDLAY ST,S ORCAS ST,1,Principal Arterial, ,INSVC,5600,30,S,N, , ,295,65,AC/PCC,2017/10/12 00:00:00+00,,2008/03/06 00:00:00+00,1ST AVE S AND S FINDLAY ST,S,33038,1ST AVE S AND S ORCAS ST,N,33040,1269809.69182508,205079.41517405,N,N,Y,Industrial Access,Y,71,65,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,295.136059166174
22,1296,68,00150,0180,001500180,10TH AVE E BETWEEN E BLAINE ST AND E HOWE ST,10TH AVE E,10TH AVE E,E BLAINE ST,E HOWE ST,2,Minor Arterial, ,INSVC,1800,25,N,N, , ,323,42,AC/PCC,2017/10/07 00:00:00+00,,,10TH AVE E AND E BLAINE ST,N,28271,10TH AVE E AND E HOWE ST,S,28267,1273882.53445326,235340.70301305,N,N,N,Urban Center Connector,,37,0,2,MAJOR TRANSIT ROUTE,DISTRICT3, ,N,4,ART,N,323.098810589824
23,1299,68,00150,0220,001500220,10TH AVE E BETWEEN E BOSTON ST AND E LYNN ST,10TH AVE E,10TH AVE E,E BOSTON ST,E LYNN ST,2,Minor Arterial, ,INSVC,2200,25,N,N, , ,417,42,PCC,2017/11/02 00:00:00+00,,,10TH AVE E AND E BOSTON ST,N,28242,10TH AVE E AND E LYNN ST,S,28237,1273913.56459728,236618.92970236,N,N,N,Urban Center Connector,,82,0,2,MAJOR TRANSIT ROUTE,DISTRICT3, ,N,6,ART,N,417.255950895728
27,1364,68,00175,0260,001750260,10TH AVE W BETWEEN W RAYE N ST AND W BOTHWELL ST,10TH AVE W,10TH AVE W,W RAYE N ST,W BOTHWELL ST,3,Collector Arterial, ,INSVC,2600,25,N,N, , ,150,30,AC/PCC,2017/10/04 00:00:00+00,,,10TH AVE W AND W RAYE N ST,N,27896,10TH AVE W AND W BOTHWELL ST,S,27890,1261588.93124066,238486.21495226,N,N,N,Neighborhood Corridor,,74,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,3,ART,N,149.689235975758
31,1407,68,00230,0420,002300420,11TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,11TH AVE NE,11TH AVE NE,NE 42ND ST,NE 43RD ST,1,Principal Arterial, ,INSVC,4200,25,N,Y,N,F,540,39,AC/PCC,2018/05/01 00:00:00+00,,,11TH AVE NE AND NE 42ND ST,N,27087,11TH AVE NE AND NE 43RD ST,S,27074,1274900.6557983,243940.71850985,Y,N,Y,Urban Village Main,,55,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,5,ART,N,540.141813573235
50,1659,68,00340,0150,003400150,12TH AVE S BETWEEN S ATLANTIC ST AND S MASSACHUSETTS ST,12TH AVE S,12TH AVE S,S ATLANTIC ST,S MASSACHUSETTS ST,3,Collector Arterial, ,INSVC,1500,25,S,N, , ,566,42,AC/PCC,2017/10/07 00:00:00+00,,,12TH AVE S AND S ATLANTIC ST,S,30466,12TH AVE S AND S MASSACHUSETTS ST,N,31232,1274251.00178163,218457.26568376,Y,N,N,Neighborhood Corridor,,9,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,2,ART,N,565.950196047432
64,1842,68,00445,0020,004450020,14TH AVE BETWEEN E SPRUCE ST AND E ALDER ST,14TH AVE,14TH AVE,E SPRUCE ST,E ALDER ST,3,Collector Arterial, ,INSVC,200,25,N,N, , ,308,30,AC/PCC,2017/10/10 00:00:00+00,,,14TH AVE AND E SPRUCE ST,N,29840,14TH AVE AND E ALDER ST,S,29825,1275116.98194252,223809.94703324,N,N,N,Urban Village Neighborhood,,41,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,6,ART,N,307.630916158245
71,1927,68,00465,0180,004650180,14TH AVE S BETWEEN S GRAND ST AND S HOLGATE ST,14TH AVE S,14TH AVE S,S GRAND ST,S HOLGATE ST,3,Collector Arterial, ,INSVC,1800,25,S,N, , ,225,42,AC/PCC,2017/10/12 00:00:00+00,,,14TH AVE S AND S GRAND ST,S,31239,14TH AVE S AND S HOLGATE ST,N,31246,1274877.64587827,217517.0888508,Y,N,N,Urban Village Neighborhood,,21,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,2,ART,N,225.436848716163
76,1999,68,00545,0170,005450170,15TH AVE BETWEEN E OLIVE ST AND E HOWELL ST,15TH AVE,15TH AVE,E OLIVE ST,E HOWELL ST,2,Minor Arterial, ,INSVC,1700,25,N,N, , ,431,40,AC/PCC,2017/10/07 00:00:00+00,,,15TH AVE AND E OLIVE ST,N,30120,15TH AVE AND E HOWELL ST,S,30119,1275561.69554298,228584.94326213,Y,N,N,Urban Village Neighborhood,,66,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,1,ART,N,430.95676670394
77,2015,68,00550,0100,005500100,15TH AVE E BETWEEN E WARD ST AND E PROSPECT S ST,15TH AVE E,15TH AVE E,E WARD ST,E PROSPECT S ST,2,Minor Arterial, ,INSVC,1000,25,N,N, , ,278,40,PCC,2017/10/07 00:00:00+00,,,15TH AVE E AND E WARD ST,N,28969,15TH AVE E AND E PROSPECT S ST,S,28956,1275688.7328551,232588.58269022,N,N,N,Urban Center Connector,,70,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,2,ART,N,278.21878092003
79,2036,68,00555,0470,005550470,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,15TH AVE NE,15TH AVE NE,NE 47TH ST,NE 50TH ST,1,Principal Arterial, ,INSVC,4700,25,N,N, , ,660,40,PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE 47TH ST,N,26066,15TH AVE NE AND NE 50TH ST,S,26052,1276089.21464752,245702.60548766,N,N,Y,Urban Village Main,,93,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,2,ART,N,659.957850590044
80,2049,68,00555,0660,005550660,15TH AVE NE BETWEEN NE 66TH ST AND NE 68TH S ST,15TH AVE NE,15TH AVE NE,NE 66TH ST,NE 68TH S ST,2,Minor Arterial, ,INSVC,6600,25,N,N, , ,395,42,AC/PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE 66TH ST,N,24507,15TH AVE NE AND NE 68TH S ST,S,24486,1276179.72562361,250465.74418053,N,N,N,Urban Village Neighborhood,,61,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,6,ART,N,395.112572982267
81,2060,68,00555,0820,005550820,15TH AVE NE BETWEEN NE 82ND ST AND NE 85TH ST,15TH AVE NE,15TH AVE NE,NE 82ND ST,NE 85TH ST,2,Minor Arterial, ,INSVC,8200,25,N,N, , ,669,37,PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE 82ND ST,N,24386,15TH AVE NE AND NE 85TH ST,S,37554,1276203.23410363,254980.44498515,N,N,N,Neighborhood Corridor,,90,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,5,ART,N,668.632285674303
82,2079,68,00555,1100,005551100,15TH AVE NE BETWEEN NE NORTHGATE WAY AND NE 113TH ST,15TH AVE NE,15TH AVE NE,NE NORTHGATE WAY,NE 113TH ST,2,Minor Arterial, ,INSVC,11000,25,N,N, , ,667,20,PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE NORTHGATE WAY,N,36506,15TH AVE NE AND NE 113TH ST,S,36494,1276289.72632772,262282.12332863,N,N,N,Neighborhood Corridor,,55,0,2,MAJOR TRANSIT ROUTE,DISTRICT5, ,N,3,ART,N,667.12367410847
83,2090,68,00555,1302,005551302,15TH AVE NE BETWEEN NE BROCKMAN S PL AND NE BROCKMAN N PL,15TH AVE NE,15TH AVE NE,NE BROCKMAN S PL,NE BROCKMAN N PL,1,Principal Arterial, ,INSVC,13000,25,N,N, , ,162,44,AC/PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE BROCKMAN S PL,N,35876,15TH AVE NE AND NE BROCKMAN N PL,S,35875,1276336.96184777,267672.26490215,N,N,Y,Urban Center Connector,,55,0,2,MAJOR TRANSIT ROUTE,DISTRICT5, ,N,5,ART,N,162.349399905871
84,2100,68,00560,0530,005600530,15TH AVE NW BETWEEN NW 53RD ST AND NW 54TH ST,15TH AVE NW,15TH AVE NW,NW 53RD ST,NW 54TH ST,1,Principal Arterial, ,INSVC,5300,30,N,N, , ,266,78,AC/PCC,2017/10/01 00:00:00+00,,,15TH AVE NW AND NW 53RD ST,N,25426,15TH AVE NW AND NW 54TH ST,S,25425,1260282.51613532,247303.92158529,N,N,Y,Urban Village Main,Y,57,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,2,ART,N,265.999877069614
85,2112,68,00560,0650,005600650,15TH AVE NW BETWEEN NW 65TH ST AND NW 67TH ST,15TH AVE NW,15TH AVE NW,NW 65TH ST,NW 67TH ST,1,Principal Arterial, ,INSVC,6500,30,N,N, , ,690,70,PCC,2017/10/01 00:00:00+00,,,15TH AVE NW AND NW 65TH ST,N,23954,15TH AVE NW AND NW 67TH ST,S,23942,1260216.55088726,250711.96562079,N,N,Y,Urban Center Connector,Y,77,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,5,ART,N,690.020991394677
87,2140,68,00565,0220,005650220,15TH AVE S BETWEEN S WALKER ST AND S COLLEGE ST,15TH AVE S,15TH AVE S,S WALKER ST,S COLLEGE ST,2,Minor Arterial, ,INSVC,2200,25,S,N, , ,260,30,PCC,2017/10/12 00:00:00+00,,,15TH AVE S AND S WALKER ST,S,31266,15TH AVE S AND S COLLEGE ST,N,31285,1275168.94495057,216296.56872155,Y,N,N,Urban Village Neighborhood,,55,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,1,ART,N,259.989240750634
88,2153,68,00565,0380,005650380,15TH AVE S BETWEEN 15TH AVS TURN RD AND S COLUMBIAN N WAY,15TH AVE S,15TH AVE S,15TH AVS TURN RD,S COLUMBIAN N WAY,2,Minor Arterial, ,INSVC,3800,25,S,N, , ,256,44,AC/PCC,2018/05/01 00:00:00+00,,,15TH AVE S AND 15TH AVS TURN RD,S,32270,15TH AVE S AND S COLUMBIAN N WAY,N,32262,1275062.55352646,211256.06222038,Y,N,N,Urban Center Connector,,55,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,1,ART,N,255.753502632789
89,2168,68,00565,0530,005650530,15TH AVE S BETWEEN S BENNETT ST AND S LUCILE ST,15TH AVE S,15TH AVE S,S BENNETT ST,S LUCILE ST,2,Minor Arterial, ,INSVC,5300,25,S,N, , ,480,36,PCC,2017/10/12 00:00:00+00,,,15TH AVE S AND S BENNETT ST,S,33341,15TH AVE S AND S LUCILE ST,N,33362,1274944.73995835,205633.99258262,Y,N,N,Urban Center Connector,,69,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,5,ART,N,479.937615732176
91,2187,68,00575,0200,005750200,15TH AVE W BETWEEN W NEWTON ST AND W ARMORY WAY,15TH AVE W,15TH AVE W,W NEWTON ST,W ARMORY WAY,1,Principal Arterial, ,INSVC,2000,30,N,N, , ,344,77,AC/PCC,2017/10/30 00:00:00+00,,,15TH AVE W AND W NEWTON ST,N,27941,15TH AVE W AND W ARMORY WAY,S,27940,1260079.02199112,236239.96714197,N,N,Y,Industrial Access,Y,71,0,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,2,ART,N,343.540179330155
102,2334,68,00695,0670,006950670,16TH AVE SW BETWEEN SW HOLLY ST AND SW MYRTLE ST,16TH AVE SW,16TH AVE SW,SW HOLLY ST,SW MYRTLE ST,2,Minor Arterial, ,INSVC,6700,25,S,N, , ,1364,44,PCC,2017/10/22 00:00:00+00,,,16TH AVE SW AND SW HOLLY ST,S,34125,16TH AVE SW AND SW MYRTLE ST,N,34126,1264607.18660375,201052.40217793,N,N,N,Neighborhood Corridor,,80,0,3,MINOR TRANSIT ROUTE,DISTRICT1, ,N,0,ART,N,1364.09778629847
103,2344,68,00695,0850,006950850,16TH AVE SW BETWEEN SW SULLIVAN ST AND SW CLOVERDALE ST,16TH AVE SW,16TH AVE SW,SW SULLIVAN ST,SW CLOVERDALE ST,2,Minor Arterial, ,INSVC,8500,25,S,N, , ,340,44,PCC,2017/10/22 00:00:00+00,,,16TH AVE SW AND SW SULLIVAN ST,S,35009,16TH AVE SW AND SW CLOVERDALE ST,N,35011,1264478.06468362,195944.3476447,N,N,N,Neighborhood Corridor,,84,0,3,MINOR TRANSIT ROUTE,DISTRICT1, ,N,1,ART,N,339.770612404453
128,2651,68,00905,0170,009050170,19TH AVE BETWEEN E MADISON ST AND E HOWELL ST,19TH AVE,19TH AVE,E MADISON ST,E HOWELL ST,3,Collector Arterial, ,INSVC,1700,25,N,N, , ,318,42,AC/PCC,2017/10/07 00:00:00+00,,,19TH AVE AND E MADISON ST,N,30125,19TH AVE AND E HOWELL ST,S,30115,1276882.55135232,228606.11535814,Y,N,N,Urban Village Neighborhood,,7,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,1,ART,N,318.089361768186
135,2748,68,00955,0050,009550050,2ND AVE BETWEEN YESLER WAY AND JAMES ST,2ND AVE,2ND AVE,YESLER WAY,JAMES ST,1,Principal Arterial, ,INSVC,500,25,NW,Y,SE,T,252,54,PCC,2017/10/27 00:00:00+00,,,2ND AVE AND YESLER WAY,NW,30488,2ND AVE AND JAMES ST,SE,30482,1270647.70654593,223196.9275126,Y,N,Y,Downtown,,66,0,1,PRINCIPAL TRANSIT ROUTE,DISTRICT7, ,N,2,ART,N,251.618327882462
136,2757,68,00955,0140,009550140,2ND AVE BETWEEN UNION ST AND PIKE ST,2ND AVE,2ND AVE,UNION ST,PIKE ST,1,Principal Arterial, ,INSVC,1400,25,NW,Y,SE,T,426,54,PCC,2017/10/27 00:00:00+00,,,2ND AVE AND UNION ST,NW,29600,2ND AVE AND PIKE ST,SE,29592,1269167.24139242,225698.12917917,Y,N,Y,Downtown,,74,0,1,PRINCIPAL TRANSIT ROUTE,DISTRICT7, ,N,4,ART,N,425.905672517746
137,2768,68,00955,0270,009550270,2ND AVE BETWEEN CEDAR ST AND CLAY ST,2ND AVE,2ND AVE,CEDAR ST,CLAY ST,1,Principal Arterial, ,INSVC,2700,25,NW,Y,SE,T,306,54,AC/PCC,2017/10/27 00:00:00+00,,,2ND AVE AND CEDAR ST,NW,29676,2ND AVE AND CLAY ST,SE,29667,1266320.61854151,228655.9287342,Y,N,N,Downtown,,88,0,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,1,ART,N,305.93277033315
139,2799,68,00965,0400,009650400,2ND AVE NE BETWEEN NE 40TH ST AND NE 42ND E ST,2ND AVE NE,2ND AVE NE,NE 40TH ST,NE 42ND E ST,3,Collector Arterial, ,INSVC,4000,25,N,Y,S,T,787,25,AC/PCC,2017/10/27 00:00:00+00,,,2ND AVE NE AND NE 40TH ST,N,27230,2ND AVE NE AND NE 42ND E ST,S,27220,1272377.15269171,243086.66154897,Y,N,N,Neighborhood Corridor,,43,0,3,MINOR TRANSIT ROUTE,DISTRICT4, ,N,7,ART,N,786.899721167603
148,2918,68,00988,0010,009880010,2ND AV SW OFF RP BETWEEN SR509 SB AND 2ND AV SW TURN RD,2ND AV SW OFF RP,2ND AV SW OFF RP,SR509 SB,2ND AV SW TURN RD,1,Principal Arterial,WSDOT,INSVC,0,40,SW,Y,SW,F,157,0,,,,,2ND AV SW OFF RP AND SR509 SB,SW,34114,2ND AV SW OFF RP AND 2ND AV SW TURN RD,NE,34115,1269471.16715273,198598.65727942,N,N,N,,Y,0,0,1,PRINCIPAL TRANSIT ROUTE,DISTRICT1, ,N,1,ART,N,157.113125293908
152,2965,68,01055,0550,010550550,20TH AVE NE BETWEEN NE 55TH ST AND NE RAVENNA EB BV,20TH AVE NE,20TH AVE NE,NE 55TH ST,NE RAVENNA EB BV,3,Collector Arterial, ,INSVC,5500,25,N,N, , ,235,40,AC/PCC,2017/09/28 00:00:00+00,,,20TH AVE NE AND NE 55TH ST,N,26040,20TH AVE NE AND NE RAVENNA EB BV,S,26007,1277469.34104893,247451.93144144,Y,N,N,Neighborhood Corridor,,89,0,3,MINOR TRANSIT ROUTE,DISTRICT4, ,N,4,ART,N,235.178028137427
181,3345,68,01265,0360,012650360,22ND AVE W BETWEEN W RUFFNER ST AND W EMERSON ST,22ND AVE W,22ND AVE W,W RUFFNER ST,W EMERSON ST,3,Collector Arterial, ,INSVC,3600,25,N,N, , ,666,25,AC/PCC,2017/10/30 00:00:00+00,,,22ND AVE W AND W RUFFNER ST,N,26460,GILMAN AVE W AND W EMERSON ST,S,26454,1258099.3457011,242071.98417194,N,N,N,Neighborhood Corridor,,48,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,1,ART,N,666.199198189631
183,3354,68,01355,0020,013550020,23RD AVE BETWEEN E SPRUCE ST AND E ALDER ST,23RD AVE,23RD AVE,E SPRUCE ST,E ALDER ST,1,Principal Arterial, ,INSVC,200,25,N,N, , ,299,34,PCC,2017/10/07 00:00:00+00,AC/PCC,2017/02/28 00:00:00+00,23RD AVE AND E SPRUCE ST,N,30103,23RD AVE AND E ALDER ST,S,30102,1278016.62380148,223749.79740118,N,N,Y,Urban Village Main,,98,100,2,MAJOR TRANSIT ROUTE,DISTRICT3, ,N,1,ART,N,299.010353103956
184,3375,68,01360,0070,013600070,23RD AVE E BETWEEN E ROY ST AND E VALLEY ST,23RD AVE E,23RD AVE E,E ROY ST,E VALLEY ST,1,Principal Arterial, ,INSVC,700,25,N,N, , ,272,42,PCC,2017/10/07 00:00:00+00,AC,2013/07/25 00:00:00+00,23RD AVE E AND E ROY ST,N,29338,23RD AVE E AND E VALLEY ST,S,29327,1278171.85784964,231647.45078526,N,N,Y,Urban Center Connector,,95,24,2,MAJOR TRANSIT ROUTE,DISTRICT3, ,N,0,ART,N,272.066378316271
189,3449,68,01375,0110,013750110,23RD AVE S BETWEEN S NORMAN ST AND S JUDKINS ST,23RD AVE S,23RD AVE S,S NORMAN ST,S JUDKINS ST,1,Principal Arterial, ,INSVC,1100,25,S,N, , ,435,48,PCC,2017/10/07 00:00:00+00,,,23RD AVE S AND S NORMAN ST,S,30800,23RD AVE S AND S JUDKINS ST,N,30811,1277890.31020136,219580.13960491,N,N,Y,Urban Village Main,,79,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,6,ART,N,434.837152835298
190,3453,68,01375,0180,013750180,23RD AVE S BETWEEN S GRAND ST AND S HOLGATE ST,23RD AVE S,23RD AVE S,S GRAND ST,S HOLGATE ST,1,Principal Arterial, ,INSVC,1800,25,S,N, , ,224,41,AC/PCC,2017/10/07 00:00:00+00,,,23RD AVE S AND S GRAND ST,S,31531,23RD AVE S AND S HOLGATE ST,N,31545,1277803.38424927,217444.30030672,N,N,Y,Urban Village Main,,51,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,4,ART,N,223.986246682347
197,3535,68,01495,0840,014950840,24TH AVE SW BETWEEN SW THISTLE ST AND SW CLOVERDALE ST,24TH AVE SW,24TH AVE SW,SW THISTLE ST,SW CLOVERDALE ST,0,Not Designated, ,INSVC,8400,20,S,N, , ,656,22,ST,2015/01/02 00:00:00+00,,,24TH AVE SW AND SW THISTLE ST,S,34841,24TH AVE SW AND SW CLOVERDALE ST,N,34848,1262481.90058558,196130.3575009,N,N,N,Urban Village Neighborhood Access,,9,0,5,TEMPORARY TRANSIT ROUTE,DISTRICT1, ,N,1,NON-ART,N,655.700353936793
201,3601,68,01485,0670,014850670,24TH AVE NW BETWEEN NW 67TH ST AND NW 70TH ST,24TH AVE NW,24TH AVE NW,NW 67TH ST,NW 70TH ST,2,Minor Arterial, ,INSVC,6700,25,N,N, , ,659,54,AC/PCC,2017/10/01 00:00:00+00,,,24TH AVE NW AND NW 67TH ST,N,23932,24TH AVE NW AND NW 70TH ST,S,23916,1257574.93008456,251399.13861349,N,N,N,Urban Center Connector,,57,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,7,ART,N,659.390021398005
202,3604,68,01485,0750,014850750,24TH AVE NW BETWEEN NW 75TH ST AND NW 77TH ST,24TH AVE NW,24TH AVE NW,NW 75TH ST,NW 77TH ST,2,Minor Arterial, ,INSVC,7500,25,N,N, , ,652,54,AC/PCC,2017/10/01 00:00:00+00,,,24TH AVE NW AND NW 75TH ST,N,23894,24TH AVE NW AND NW 77TH ST,S,23883,1257607.04784459,253396.19960754,N,N,N,Urban Center Connector,,22,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,2,ART,N,652.036544853983
211,3724,68,01610,0540,016100540,25TH AVE NE BETWEEN NE 54TH ST AND NE 55TH ST,25TH AVE NE,25TH AVE NE,NE 54TH ST,NE 55TH ST,1,Principal Arterial, ,INSVC,5400,25,N,N, , ,200,47,AC/PCC,2017/09/24 00:00:00+00,,,25TH AVE NE AND NE 54TH ST,N,25940,25TH AVE NE AND NE 55TH ST,S,25939,1278911.26143441,247204.16632119,N,N,Y,Urban Village Main,,40,0,3,MINOR TRANSIT ROUTE,DISTRICT4, ,N,5,ART,N,199.674487654738
212,3730,68,01610,0700,016100700,25TH AVE NE BETWEEN NE 70TH ST AND NE 74TH ST,25TH AVE NE,25TH AVE NE,NE 70TH ST,NE 74TH ST,1,Principal Arterial, ,INSVC,7000,25,N,N, , ,954,40,PCC,2017/09/24 00:00:00+00,,,25TH AVE NE AND NE 70TH ST,N,24669,25TH AVE NE AND NE 74TH ST,S,24662,1278978.00940247,251750.32146184,N,N,Y,Urban Center Connector,,90,0,3,MINOR TRANSIT ROUTE,DISTRICT4, ,N,1,ART,N,953.982654215896
230,3960,68,01720,0940,017200940,26TH AVE SW BETWEEN SW CAMBRIDGE ST AND SW ROXBURY ST,26TH AVE SW,26TH AVE SW,SW CAMBRIDGE ST,SW ROXBURY ST,3,Collector Arterial, ,INSVC,9400,25,S,N, , ,667,40,PCC,2017/10/22 00:00:00+00,,,26TH AVE SW AND SW CAMBRIDGE ST,S,34890,26TH AVE SW AND SW ROXBURY ST,N,34902,1261737.83453682,192823.26104951,N,N,N,Urban Village Neighborhood,,50,0,3,MINOR TRANSIT ROUTE,DISTRICT1, ,N,1,ART,N,667.438713144513
251,4241,68,01930,0240,019300240,28TH AVE W BETWEEN W MCGRAW N ST AND W SMITH ST,28TH AVE W,28TH AVE W,W MCGRAW N ST,W SMITH ST,3,Collector Arterial, ,INSVC,2400,25,N,N, , ,420,36,PCC,2017/10/30 00:00:00+00,,,28TH AVE W AND W MCGRAW N ST,N,27667,28TH AVE W AND W SMITH ST,S,27656,1255952.22531489,237560.99050331,N,N,N,Neighborhood Corridor,,70,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,1,ART,N,419.866951458732
252,4244,68,01930,0257,019300257,28TH AVE W BETWEEN W RAYE S ST AND W RAYE N ST,28TH AVE W,28TH AVE W,W RAYE S ST,W RAYE N ST,3,Collector Arterial, ,INSVC,2600,25,N,N, , ,96,36,PCC,2017/10/30 00:00:00+00,,,28TH AVE W AND W RAYE S ST,N,27649,28TH AVE W AND W RAYE N ST,S,27644,1255980.63286692,238562.33668034,N,N,N,Neighborhood Corridor,,72,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,2,ART,N,95.5059074337397
262,4378,68,02080,0090,020800090,3RD AVE BETWEEN MARION ST AND MADISON ST,3RD AVE,3RD AVE,MARION ST,MADISON ST,2,Minor Arterial, ,INSVC,900,25,NW,N, , ,306,46,PCC,2017/10/10 00:00:00+00,,,3RD AVE AND MARION ST,NW,29967,3RD AVE AND MADISON ST,SE,29951,1270315.3513456,224390.96258584,N,N,N,Downtown Neighborhood,,77,0,1,PRINCIPAL TRANSIT ROUTE,DISTRICT7, ,N,3,ART,N,305.999401768738
263,4387,68,02080,0200,020800200,3RD AVE BETWEEN VIRGINIA ST AND LENORA ST,3RD AVE,3RD AVE,VIRGINIA ST,LENORA ST,2,Minor Arterial, ,INSVC,2000,25,NW,N, , ,426,54,PCC,2017/12/08 00:00:00+00,,,3RD AVE AND VIRGINIA ST,NW,29563,3RD AVE AND LENORA ST,SE,29558,1268432.95371167,227169.56930868,N,N,N,Downtown Neighborhood,,100,0,1,PRINCIPAL TRANSIT ROUTE,DISTRICT7, ,N,1,ART,N,426.028467811188
